relevance,stance,frame_choice,frame_healthcare,frame_access,frame_race,frame_class,frame_life_fetus,frame_religious_moral,frame_health_impact,attack_abortion_opponent,attack_abortion_supporter,legal_policy,vote_mobilization,advocacy,care_recognition,care_responsibility,care_action,care_responsive,personal_experience,experience_type,institution,institution_text,institution_distrust
1,1,0,1,0,1,1,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,1,"""Supreme Court""",0
1,1,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,7,"""this country""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,2,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,3,"""Georgia""",0
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,NA,2,"""government""",1
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,1,1,0,0,1,NA,NA,NA,1,NA,0,0,0,1,0,0,0,1,1,7,"""this country""",0
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,0,0,1,0,0,NA,NA,NA,0,NA,0,0,0,0,1,0,0,0,NA,3,"""Florida""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,0,1,0,0,0,NA,4,"""Journalists""",0
1,1,0,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,1,"""Supreme Court""",0
1,2,NA,NA,NA,NA,NA,1,0,0,NA,0,1,0,0,0,0,0,0,0,NA,7,"""This nation""",0
1,1,0,0,0,0,0,1,NA,NA,1,NA,1,0,0,1,0,0,0,0,NA,7,"""Lindsey Graham""",0
1,1,1,0,0,0,0,NA,NA,NA,0,NA,0,0,1,1,1,0,0,0,NA,2,"""Demand Congress""",0
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,0,0,NA,NA,NA,0,NA,1,0,0,0,0,0,0,0,NA,0,NA,NA
1,1,1,0,0,0,0,NA,NA,NA,1,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA
1,1,0,0,0,0,0,NA,NA,NA,1,NA,1,1,0,0,0,0,0,0,NA,2,"""national"" ""Senate""",0
1,2,NA,NA,NA,NA,1,1,0,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,
1,1,1,0,1,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,3,15 states have no exceptions for rape & incest,1,
1,1,0,1,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,1,Samuel Alito,1,
1,1,1,1,0,0,NA,NA,NA,0,NA,0,0,1,0,1,0,0,0,NA,0,NA,NA,
1,1,0,0,0,0,NA,NA,NA,1,NA,1,0,0,0,0,0,0,0,NA,3,Oklahoma,1,
1,1,1,0,0,0,NA,NA,NA,1,NA,0,1,0,0,1,0,0,0,NA,0,NA,NA,
1,3,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,NA,3,One of the only states,NA,
1,"3, 1",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,
1,2,NA,NA,NA,NA,0,0,0,NA,0,1,0,0,0,0,0,0,0,NA,3,Michigan Gov. Gretchen Whitmer,1,
1,1,1,0,0,0,NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,
1,2,NA,NA,NA,NA,1,1,0,NA,1,0,0,0,0,0,0,0,0,NA,0,NA,NA,
1,1,1,0,1,0,NA,NA,NA,0,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA,
1,1,1,0,0,0,NA,NA,NA,0,NA,0,1,0,1,0,0,0,0,NA,4,Thom Hartmann,0,
